Tag(English),Tag(Japanese)
explosive,爆発物
loincloth,腰布
frilled_thighhighs,フリル付き太ももハイ
robot_joints,ロボット関節
bra_pull,ブラジャー引き
pinstripe_pattern,ピンストライプ柄
purple_necktie,紫ネクタイ
paper_lantern,提灯
military_jacket,ミリタリージャケット
meat,肉
forehead_protector,額当て
holding_paper,紙保持
castle,城
two-tone_shirt,二色シャツ
solid_circle_eyes,塗りつぶし丸目
holding_ball,ボール保持
yellow_headwear,黄色頭装具
dango,団子
lanyard,ランヤード
otonokizaka_school_uniform,音ノ木坂学院制服
father_and_daughter,父と娘
whistle,ホイッスル
company_connection,会社関連
leg_tattoo,脚のタトゥー
sleeves_past_elbows,肘越し袖
heart_pasties,ハートパスティ
faceless_female,顔無し女性
two-tone_fur,二色毛皮
chain-link_fence,チェーンリンクフェンス
twilight,黄昏
bound_legs,縛られた脚
white_camisole,白キャミソール
thighhighs_under_boots,ブーツ下太ももハイ
single_wing,片翼
vase,花瓶
covering_face,顔覆い
tomboy,おてんば
penguin,ペンギン
utility_pole,電柱
belt_collar,ベルトカラー
brown_bow,茶色のリボン
suggestive_fluid,示唆的な液体
medium_bangs,中前髪
red_wings,赤い翼
thigh_holster,太ももホルスター
dressing,着替え
skyscraper,超高層ビル
shorts_pull,ショーツ引き
costume_switch,衣装変更
suitcase,スーツケース
bubble_skirt,バブルスカート
food_focus,食品焦点
striped_socks,縞模様の靴下
monster_boy,モンスターボーイ
mismatched_pupils,左右異なる瞳孔
feet_up,足上げ
noodles,麺類
blue_butterfly,青い蝶
oripathy_lesion_(arknights),鉱石病病巣(アークナイツ)
waistcoat,ウェストコート
cowboy_hat,カウボーイハット
;p,ウインク
whip,鞭
print_dress,プリントドレス
cum_on_tongue,舌上の精液
evening,夕方
damaged,損傷
paper_fan,扇子
train_interior,電車内
autumn,秋
flower-shaped_pupils,花形瞳孔
asymmetrical_sleeves,非対称袖
see-through_shirt,透けシャツ
unworn_clothes,未着用服
polka_dot_panties,水玉パンティ
grapes,ぶどう
lapels,ラペル
projectile_cum,飛翔精液
teardrop,涙滴
blue_bodysuit,青ボディスーツ
firing,発砲
time_paradox,タイムパラドックス
knight,騎士
grabbing_another's_hair,他人の髪掴み
family,家族
torn_pants,破れたパンツ
star_in_eye,目の星
brown_fur,茶色の毛皮
holding_removed_eyewear,外した眼鏡保持
print_pantyhose,プリントパンスト
bird_tail,鳥の尾
anal_beads,アナルビーズ
holding_pen,ペン保持
grey_pantyhose,灰色パンスト
turn_pale,青ざめる
zombie,ゾンビ
gradient_eyes,グラデーション目
cow_print_bikini,牛柄ビキニ
albino,アルビノ
thong_bikini,Tバックビキニ
bra_visible_through_clothes,服越しブラ
flag_print,旗プリント
unmoving_pattern,静止模様
water_gun,水鉄砲
white_bloomers,白ブルマ
full_armor,全身鎧
breast_envy,乳房羨望
panty_peek,パンティ覗き
popped_collar,ポップドカラー
chest_sarashi,胸さらし
bursting_breasts,はち切れ乳房
female_pervert,女性変態
onigiri,おにぎり
wet_panties,濡れパンティ
fox,狐
animal_ear_headphones,動物耳ヘッドホン
wolf,狼
swivel_chair,回転椅子
waves,波
yellow_gloves,黄色手袋
pearl_necklace,真珠ネックレス
large_bow,大きなリボン
armpit_peek,脇のぞき
heart-shaped_box,ハート型箱
multicolored_nails,多色爪
old_school_swimsuit,旧式水着
no_socks,ノーソックス
convenient_leg,便利な脚
stand_(jojo),スタンド(ジョジョ)
green_bowtie,緑蝶ネクタイ
tail_ribbon,尾リボン
snout,鼻面
flower_knot,花結び
fat_man,肥満男性
shushing,シーッ
rose_petals,バラの花びら
blue_sleeves,青い袖
yandere,ヤンデレ
bird_ears,鳥耳
stirrup_legwear,あぶみ脚衣
maebari,前貼り
husband_and_wife,夫婦
2others,2人と他
orange_jacket,オレンジジャケット
purple_leotard,紫レオタード
disembodied_penis,分離したペニス
pussy_peek,マンコ覗き
pink_skin,ピンクの肌
squatting_cowgirl_position,しゃがみ騎乗位
streaming_tears,流れる涙
cat_boy,猫少年
notebook,ノート
beer_mug,ビアマグ
shark_girl,サメ少女
microphone_stand,マイクスタンド
partially_unzipped,部分的にジッパー開け
aiguillette,アギュレット
dolphin_shorts,ドルフィンショーツ
amputee,切断者
energy,エネルギー
mouse_girl,ネズミ少女
arthropod_girl,節足動物少女
vertical-striped_shirt,縦縞シャツ
multiple_4koma,複数4コマ
fur_hat,毛皮帽
bicycle,自転車
obijime,帯締め
mixed-sex_bathing,混浴
fur-trimmed_headwear,毛皮縁頭装具
bra_strap,ブラストラップ
strap_pull,ストラップ引き
school_chair,学校椅子
ice_cream_cone,アイスクリームコーン
animal_on_shoulder,肩の動物
orange_dress,オレンジドレス
blue_buruma,青ブルマ
interface_headset,インターフェイスヘッドセット
pink_necktie,ピンクネクタイ
toeless_footwear,つま先なし履物
crotchless,股間開き
raised_eyebrow,片眉上げ
boy_on_top,男が上
suit_jacket,スーツジャケット
bone,骨
striped_scarf,縞マフラー
whiskers,ひげ
mismatched_gloves,左右違う手袋
chick,ひよこ
cane,杖
grey_vest,灰色ベスト
money,お金
blue_socks,青い靴下
black_skin,黒い肌
poster_(object),ポスター(物体)
peeking_out,覗き見
medium_skirt,中丈スカート
argyle_legwear,アーガイル脚衣
frilled_hat,フリル帽
ship,船
open_hands,開いた手
tengu-geta,天狗下駄
striped_skirt,縞スカート
danmaku,弾幕
hand_on_another's_cheek,他人の頬に手
orange_(fruit),オレンジ(果物)
showgirl_skirt,ショーガールスカート
striped_ribbon,縞リボン
recording,録音中
demon,悪魔
double_handjob,ダブルハンドジョブ
waist_bow,腰リボン
quiver,矢筒
waking_up,目覚め
alien,エイリアン
blue_fire,青い炎
romaji_text,ローマ字テキスト
red_buruma,赤ブルマ
falling_leaves,落ち葉
heart-shaped_chocolate,ハート型チョコ
nintendo_switch,ニンテンドースイッチ
closed_umbrella,閉じた傘
button_gap,ボタン間隙
black_cloak,黒マント
lightning,稲妻
hydrangea,アジサイ
taking_picture,写真撮影
fedora,フェドーラ帽
cable_knit,ケーブルニット
hands_on_own_knees,自分の膝に手
breast_suppress,胸押さえ
holding_camera,カメラ保持
revolver,リボルバー
grabbing_own_ass,自分の尻掴み
bandaid_on_knee,膝の絆創膏
hatching_(texture),ハッチング(質感)
unsheathing,抜刀
slime_(substance),スライム(物質)
backboob,背中胸
on_desk,机の上
coffee_mug,コーヒーマグ
super_crown,スーパークラウン
low_twin_braids,低いツインテール
spring_onion,ネギ
single_leg_pantyhose,片脚パンスト
grey_cardigan,灰色カーディガン
ladle,おたま
elbow_pads,エルボーパッド
crotch,股間
print_thighhighs,プリント太ももハイ
skinny,痩せ型
photo_background,写真背景
winter_coat,冬コート
yellow_sweater,黄色セーター
serval_print,サーバル柄
crazy_eyes,狂気の目
orange_flower,オレンジの花
half-closed_eye,半目
holding_strap,ストラップ保持
see-through_cleavage,透け谷間
wine_bottle,ワインボトル
back_cutout,背中切り抜き
two-tone_jacket,二色ジャケット
single_elbow_glove,片肘手袋
humanization,擬人化
statue,像
netorare,寝取られ
dimples_of_venus,腰窩
sideways_mouth,横口
thigh_grab,太もも掴み
locker,ロッカー
cat_hair_ornament,猫髪飾り
yellow_shorts,黄色ショーツ
reverse_trap,リバーストラップ
cake_slice,ケーキの一切れ
kitchen,キッチン
ambiguous_gender,曖昧な性別
blue_wings,青い翼
naked_ribbon,裸リボン
starfish,ヒトデ
colored_pencil_(medium),色鉛筆(画材)
orange_bikini,オレンジビキニ
black_flower,黒い花
torn_dress,破れたドレス
throne,玉座
lance,槍
black_ascot,黒アスコット
print_skirt,プリントスカート
ringlets,リングレット
butterfly_wings,蝶の羽
hot,暑い
multiple_hair_bows,複数ヘアリボン
crow,カラス
reverse_grip,逆手持ち
holding_broom,箒保持
demon_boy,悪魔少年
red_gemstone,赤い宝石
spoken_blush,口述赤面
condom_in_mouth,口内コンドーム
crowd,群衆
unworn_jacket,未着用ジャケット
track_pants,トラックパンツ
male_masturbation,男性オナニー
bikini_bottom_aside,ビキニボトムを脇へ
holding_shield,盾保持
towel_around_neck,首のタオル
sagging_breasts,垂れ乳房
knees_to_chest,膝を胸に
hand_on_another's_chin,他人の顎に手
blood_on_weapon,武器の血
dress_bow,ドレスリボン
crab,カニ
arm_hair,腕の毛
gears,歯車
pole,棒
muted_color,くすんだ色
pink_neckerchief,ピンクネッカチーフ
red_scrunchie,赤シュシュ
snowman,雪だるま
stick,棒
grey_hoodie,灰色フーディ
blood_from_mouth,口から血
dragon_wings,竜の翼
yellow_fur,黄色の毛皮
one-piece_swimsuit_pull,ワンピ水着引き
business_suit,ビジネススーツ
tower,塔
forked_eyebrows,二股眉毛
wedgie,ウェッジ
baggy_pants,バギーパンツ
holding_bowl,ボウル保持
metal_collar,金属首輪
unworn_mask,未着用マスク
armchair,アームチェア
defeat,敗北
gourd,ひょうたん
bandaged_hand,包帯手
boat,ボート
armpit_hair,脇毛
white_vest,白ベスト
trading_card,トレーディングカード
hose,ホース
long_tongue,長い舌
machine_gun,機関銃
pointing_at_self,自分を指差し
spread_anus,広げられた肛門
frilled_hair_tubes,フリル髪チューブ
evil_grin,邪悪な笑み
impossible_shirt,不可能シャツ
unbuttoned_shirt,ボタン開きシャツ
scar_on_chest,胸の傷跡
breast_lift,胸持ち上げ
road_sign,道路標識
lock,錠
digimon_(creature),デジモン(生物)
drop_shadow,ドロップシャドウ
roswaal_mansion_maid_uniform,ロズワール邸メイド服
holding_lollipop,ロリポップ保持
yellow_theme,黄色テーマ
poking,つつき
blue_capelet,青いケープレット
barcode,バーコード
hairpods,ヘアポッド
waterfall,滝
footwear_bow,履物のリボン
pocket_watch,懐中時計
dark_elf,ダークエルフ
shiny_pokemon,色違いポケモン
purple_hairband,紫ヘアバンド
school,学校
baby,赤ちゃん
clone,クローン
body_markings,身体模様
letter,手紙
elbow_rest,肘置き
lightning_bolt_symbol,稲妻記号
landscape,風景
multiple_wings,複数の翼
imagining,想像中
trident,トライデント
album_cover,アルバムカバー
soap_bubbles,シャボン玉
wrist_ribbon,手首リボン
garreg_mach_monastery_uniform,ガレットマック修道院制服
single_sleeve,片袖
hands_in_hair,髪の中の手
surgical_mask,サージカルマスク
toilet,トイレ
pointing_up,上を指差し
unconventional_maid,非通常メイド
open_collar,オープンカラー
bustier,ビスチェ
brown_bag,茶色の袋
weibo_username,微博ユーザー名
v_over_eye,V字目隠し
red_pupils,赤い瞳孔
pirate_hat,海賊帽
towel_on_head,頭のタオル
red_rope,赤いロープ
pouring,注ぐ
anal_tail,アナルテール
sleeveless_kimono,袖無し着物
furry_with_non-furry,ファーリーとノンファーリー
leather_jacket,革ジャン
trench_coat,トレンチコート
mouth_drool,口のよだれ
paizuri_under_clothes,服上パイズリ
orange_bowtie,オレンジ蝶ネクタイ
pink_cardigan,ピンクカーディガン
planted_sword,地面に刺した剣
gradient_sky,グラデーション空
>:(,怒り顔
looking_at_object,物体を見て
orange_headwear,オレンジ頭装具
loose_necktie,緩いネクタイ
bow-shaped_hair,リボン形髪
hypnosis,催眠術
bodypaint,ボディペイント
dress_pull,ドレス引き
bullet,弾丸
brown_scarf,茶色マフラー
against_glass,ガラスに押し付け
death,死
imminent_rape,目前のレイプ
lowleg_bikini,ローレグビキニ
green_sailor_collar,緑セーラー襟
holding_towel,タオル保持
pink_scarf,ピンクスカーフ
red_sailor_collar,赤セーラー襟
clover,クローバー
toe_scrunch,つま先丸め
locked_arms,腕組み
heart_background,ハート背景
fusion,融合
oppai_loli,おっぱいロリ
fur-trimmed_boots,毛皮縁ブーツ
spread_ass,広げられた尻
holding_own_arm,自分の腕保持
heart_in_eye,目のハート
multicolored_skirt,多色スカート
linea_alba,白線
gym_shorts,体操ショーツ
jar,瓶
command_spell,令呪
leg_hair,脚毛
no_nipples,乳首無し
mini_wings,ミニ翼
bear,熊
multiple_horns,複数の角
steepled_fingers,尖塔状の指
carrot_hair_ornament,人参の髪飾り
mandarin_orange,みかん
power_armor,パワードアーマー
covered_collarbone,鎖骨隠し
bubble_blowing,シャボン玉を吹く
midair,空中
looking_at_penis,陰茎を見つめる
silk,絹
hairy,毛深い
sailor,セーラー服
keyboard_(computer),キーボード(コンピュータ)
long_eyelashes,長いまつ毛
horror_(theme),ホラー(テーマ)
winged_arms,翼のある腕
puddle,水たまり
heart_necklace,ハートのネックレス
flaccid,萎れた
frilled_gloves,フリル付き手袋
yellow_panties,黄色のパンティ
milk,牛乳
blue_ascot,青いアスコットタイ
leaning_on_person,人にもたれかかる
argyle_background,アーガイル背景
stomach_tattoo,腹部のタトゥー
flight_deck,飛行甲板
open_door,開いたドア
2021,2021年
underboob_cutout,アンダーブストカットアウト
leaf_print,葉模様
arm_belt,アームベルト
unsheathed,鞘から抜いた
purple_rose,紫のバラ
backwards_hat,後ろ向き帽子
arm_around_shoulder,肩に腕を回す
v-fin,V字フィン
shop,店
cat_cutout,猫型カットアウト
polka_dot_bikini,水玉ビキニ
:>=,不機嫌な顔
library,図書館
black_tail,黒い尾
2022,2022年
halftone_background,網点背景
hand_on_own_arm,自分の腕に手を置く
no_pussy,陰部無し
crescent_pin,三日月ピン
red_headband,赤いヘアバンド
strapless_bikini,ストラップレスビキニ
nervous_smile,緊張した笑顔
nude_cover,裸体隠し
red_sleeves,赤い袖
earclip,イヤークリップ
earpiece,イヤーピース
checkered_skirt,チェックのスカート
painting_(object),絵画(物体)
holding_box,箱を持っている
white_robe,白いローブ
reverse_outfit,逆さま衣装
thorns,棘
tiger_girl,虎娘
grey_coat,グレーのコート
mechanical_wings,機械の翼
assisted_exposure,補助露出
mobile_suit,モビルスーツ
tissue_box,ティッシュ箱
mother_and_son,母と息子
cat_lingerie,猫型ランジェリー
purple_pantyhose,紫のパンスト
white_horns,白い角
pince-nez,鼻眼鏡
dark_nipples,黒い乳首
office_chair,オフィスチェア
musical_note_hair_ornament,音符の髪飾り
holding_mask,仮面を持っている
frilled_pillow,フリル枕
pentagram,五芒星
torn_skirt,破れたスカート
imminent_vaginal,間近の膣
unaligned_breasts,非対称な乳房
thong_leotard,Tバックレオタード
two-tone_gloves,ツートーン手袋
cum_pool,精液溜まり
macaron,マカロン
black_fur,黒い毛皮
red_belt,赤いベルト
heart_choker,ハートのチョーカー
orange_ribbon,オレンジ色のリボン
colorful,カラフル
after_anal,アナル後
teacher,教師
black_bag,黒いカバン
tablet_pc,タブレットPC
kissing_cheek,頬へのキス
scar_on_arm,腕の傷跡
penis_on_face,顔の上の陰茎
see-through_silhouette,透けシルエット
tsundere,ツンデレ
heart-shaped_eyewear,ハート型眼鏡
flashing,露出
lake,湖
policewoman,女性警察官
2023,2023年
egg_vibrator,卵型バイブレーター
flexible,柔軟
ribbon-trimmed_legwear,リボン飾りレッグウェア
circle,円
defloration,初交
hooded_capelet,フード付きケープ
deep_penetration,深い挿入
blue_belt,青いベルト
spider_web,蜘蛛の巣
small_horns,小さな角
viewfinder,ファインダー
bat_print,コウモリ模様
hair_beads,髪のビーズ
stage,舞台
tiger,虎
demon_slayer_uniform,鬼殺隊服
test_tube,試験管
arm_rest,アームレスト
soccer_uniform,サッカー制服
striped_jacket,ストライプジャケット
game_console,ゲーム機
spider_lily,彼岸花
pink_shorts,ピンクのショーツ
holding_scythe,鎌を持っている
holding_pom_poms,ポンポンを持っている
grey_sailor_collar,グレーのセーラーカラー
lifting_person,人を持ち上げる
purple_vest,紫のベスト
arm_hug,腕で抱擁
virgin_killer_sweater,バージンキラーニット
uneven_eyes,左右非対称な目
improvised_gag,即席の猿轡
cat_paws,猫の肉球
egasumi,恵我寿
scope,スコープ
fog,霧
reverse_bunnysuit,逆バニースーツ
white_feathers,白い羽
brand_name_imitation,ブランド名模倣
fishing_rod,釣り竿
leaning,傾く
fisheye,魚眼レンズ
lower_body,下半身
octopus,タコ
lion_tail,ライオンの尾
remote_control,リモコン
dangle_earrings,ダングルイヤリング
food_print,食べ物模様
ears_down,耳を下げて
bolt_action,ボルトアクション
bike_shorts_under_skirt,スカート下のバイクショーツ
envelope,封筒
print_bow,プリントリボン
yellow_scarf,黄色いスカーフ
rapier,レイピア
shide,紙垂
tight_pants,タイトパンツ
dog_boy,犬少年
number_tattoo,数字のタトゥー
kiseru,煙管
swimming,水泳
sleeves_pushed_up,袖をまくり上げた
earth_(planet),地球(惑星)
1980s_(style),1980年代風
cat_hood,猫フード
food_on_body,体上の食べ物
raccoon_girl,アライグマ娘
grabbing_another's_ass,他人の尻を掴む
partially_undressed,部分的に脱衣
bikini_top_lift,ビキニトップ持ち上げ
print_gloves,プリント手袋
soul_gem,ソウルジェム
glowing_weapon,輝く武器
reverse_suspended_congress,逆さ吊り騎乗位
shooting_star,流れ星
penis_awe,陰茎畏怖
blue_scrunchie,青いスクランチ
leotard_aside,レオタードを脇に
butt_plug,尻栓
violin,バイオリン
shrine,神社
bikini_tan,ビキニ焼け
novelty_censor,ユーモア検閲
lion_girl,ライオン娘
dancer,ダンサー
ryouou_school_uniform,龍王学校制服
opaque_glasses,不透明眼鏡
holding_axe,斧を持っている
red_sclera,赤い強膜
kunai,クナイ
showering,シャワー中
pubic_hair_peek,陰毛覗き見
no_legwear,レッグウェア無し
shore,岸辺
thank_you,ありがとう
kyuubi,九尾
spacecraft,宇宙船
folded_fan,折りたたみ扇子
robot_ears,ロボット耳
bandaids_on_nipples,乳首の絆創膏
red_moon,赤い月
anus_peek,肛門覗き見
idol_clothes,アイドル衣装
after_fellatio,フェラチオ後
orange_necktie,オレンジのネクタイ
cheek-to-cheek,頬を合わせて
christmas_ornaments,クリスマスオーナメント
chicken,鶏
biting_own_lip,自分の唇を噛む
train,列車
you_gonna_get_raped,強姦予告
lamia,ラミア
text_background,文字背景
beak,くちばし
paper_bag,紙袋
pink_leotard,ピンクのレオタード
still_life,静物画
multiple_belts,複数のベルト
floor,床
father_and_son,父と息子
duck,アヒル
framed_breasts,額縁乳房
shotgun,ショットガン
orange_sky,オレンジ色の空
sideless_outfit,サイドレス衣装
flip-flops,ビーチサンダル
bandaid_on_cheek,頬の絆創膏
wizard_hat,魔法使いの帽子
middle_finger,中指立て
too_many,多すぎる
holding_pokemon,ポケモンを持っている
hand_under_clothes,服の下の手
rooftop,屋上
cage,檻
aran_sweater,アランセーター
sushi,寿司
goth_fashion,ゴスファッション
banana,バナナ
w_arms,W字腕
single_detached_sleeve,片方だけの袖
scar_on_nose,鼻の傷跡
harpy,ハーピー
irrumatio,イラマチオ
smokestack,煙突
fighting,戦闘
taur,ケンタウロス型
constellation,星座
cat_ear_headphones,猫耳ヘッドホン
employee_uniform,従業員制服
uchiwa,団扇
plaid_dress,プリーツドレス
radio_antenna,ラジオアンテナ
pizza,ピザ
sheep,羊
tomoe_(symbol),巴(模様)
quad_tails,四本尻尾
prosthetic_arm,義手
chewing_gum,チューインガム
lemon,レモン
black_armor,黒い鎧
tomato,トマト
lineup,整列
jacket_partially_removed,ジャケット部分脱ぎ
asymmetrical_footwear,左右非対称靴
red_sash,赤いサッシュ
lifebuoy,救命浮き輪
vertical-striped_dress,縦縞ドレス
orange_nails,オレンジ色の爪
needle,針
leopard_print,ヒョウ柄
rose_print,バラ模様
costume,コスチューム
green_gemstone,緑の宝石
energy_sword,エネルギーの剣
wrench,レンチ
gloom_(expression),憂鬱な表情
drum,ドラム
paint_splatter,ペンキの飛沫
suction_cups,吸盤
sode,袖
lying_on_person,人の上に寝る
afloat,浮かんで
bandage_over_one_eye,片目包帯
hair_tucking,髪を耳にかける
sheep_ears,羊の耳
contrail,飛行機雲
rubber_duck,ラバーダック
arms_under_breasts,乳房の下の腕
arms_around_neck,首に腕を回す
on_grass,草の上
seagull,カモメ
breast_curtains,乳房カーテン
character_profile,キャラクター紹介
unworn_bra,未着用ブラ
transformation,変身
upright_straddle,騎乗位
purple_bodysuit,紫のボディスーツ
pussy_juice_trail,愛液の筋
holding_another's_arm,他人の腕を持っている
ribbed_shirt,リブ編みシャツ
finger_gun,指鉄砲
milestone_celebration,節目の祝い
blue_pantyhose,青いパンスト
spacesuit,宇宙服
staring,凝視
sandwich,サンドイッチ
pumps,パンプス
animal_feet,動物の足
deepthroat,ディープスロート
two-tone_skirt,ツートーンスカート
diagonal_bangs,斜め前髪
swimsuit_aside,水着を脇に
wing_hair_ornament,羽の髪飾り
cowlick,アホ毛
green_cape,緑のケープ
pussy_juice_stain,愛液の染み
spread_toes,広げた足指
perky_breasts,張りのある乳房
median_furrow,胸の谷間
maid_bikini,メイドビキニ
vegetable,野菜
hands_on_another's_face,他人の顔に手を置く
map,地図
neon_trim,ネオントリム
holding_dagger,短剣を持っている
reindeer_antlers,トナカイの角
bone_hair_ornament,骨の髪飾り
tail_through_clothes,服から出た尾
green_leotard,緑のレオタード
pompadour,ポンパドール
huge_nipples,巨大乳首
cream,クリーム
adjusting_swimsuit,水着を直す
green_scarf,緑のスカーフ
parfait,パフェ
candy_apple,キャンディアップル
furisode,振袖
calligraphy_brush,筆
presenting_armpit,腋見せ
striped_tail,縞模様の尾
;q,悲しみの表情
spoken_squiggle,話し文字
cuts,切り傷
clothed_pokemon,服を着たポケモン
fairy_(sao),妖精(SAO)
alternate_universe,異世界
jacket_around_waist,腰に巻いたジャケット
green_sweater,緑のセーター
multiple_crossover,クロスオーバー
pokephilia,ポケモン愛好
beer_can,ビール缶
gloved_handjob,手袋手コキ
medical_eyepatch,医療用眼帯
magazine_(weapon),マガジン(武器)
purple_choker,紫のチョーカー
swim_trunks,スイムトランクス
banner,バナー
stylus,スタイラス
holding_underwear,下着を持っている
obiage,帯揚げ
frilled_one-piece_swimsuit,フリル付きワンピ水着
kote,籠手
coattails,燕尾
braided_hair_rings,編みこみリング
non-humanoid_robot,非人型ロボット
orange_footwear,オレンジ色の履物
briefcase,ブリーフケース
yellow_kimono,黄色い着物
multicolored_wings,多色の翼
pantylines,パンティライン
blue_hakama,青い袴
rectangular_eyewear,角型眼鏡
baozi,包子
slave,奴隷
american_flag,アメリカ国旗
skirt_suit,スカートスーツ
aqua_bowtie,アクアの蝶ネクタイ
happy_halloween,ハッピーハロウィン
bleeding,出血
thinking,考え中
feather_boa,フェザーボア
o-ring_bottom,Oリングボトム
piggyback,おんぶ
ceiling,天井
goggles_around_neck,首にゴーグル
arm_around_waist,腰に腕を回す
purple_wings,紫の翼
american_flag_legwear,星条柄レッグウェア
clothes_grab,服を掴む
letterman_jacket,レターマンジャケット
breast_tattoo,胸のタトゥー
kogal,コギャル
mascara,マスカラ
digital_media_player,デジタルメディアプレイヤー
squirrel_ears,リス耳
collage,コラージュ
chain_necklace,チェーンネックレス
ejaculating_while_penetrated,挿入中射精
hands_on_another's_shoulders,他人の肩に手を置く
object_namesake,同名物
miniboy,ミニボーイ
single_kneehigh,片膝丈靴下
ear_ribbon,耳リボン
barbell_piercing,バーベルピアス
black_headband,黒いヘアバンド
finger_on_trigger,引き金に指
laevatein_(touhou),レーヴァテイン(東方)
green_coat,緑のコート
mole_on_thigh,太もものほくろ
multiple_earrings,複数ピアス
domino_mask,ドミノマスク
layered_clothes,重ね着
yellow_rose,黄色いバラ
purple_pants,紫のパンツ
energy_gun,エネルギー銃
single_hair_intake,片方だけの前髪
spoken_interrobang,感嘆疑問符
sake_bottle,酒瓶
grey_panties,グレーのパンティ
kanzashi,簪
wet_swimsuit,濡れた水着
sheep_girl,羊娘
egyptian,エジプト風
soda_can,ソーダ缶
updo,アップスタイル
pancake,パンケーキ
remote_control_vibrator,リモコン式バイブ
pillarboxed,額縁付き
string_of_fate,運命の赤い糸
spotlight,スポットライト
flute,フルート
white_wrist_cuffs,白いリストカフ
city_lights,都市の光
debris,瓦礫
figure,フィギュア
what,困惑
lily_pad,スイレンの葉
binoculars,双眼鏡
toy,おもちゃ
animal_penis,動物の陰茎
spitroast,串刺し体位
frilled_kimono,フリル着物
eyepatch_bikini,眼帯ビキニ
bag_charm,バッグチャーム
throwing,投擲
bar_(place),バー(場所)
hand_on_another's_arm,他人の腕に手を置く
chips_(food),ポテトチップス
fur-trimmed_hood,毛皮縁フード
bat_hair_ornament,コウモリ髪飾り
diagonal-striped_clothes,斜め縞服
goggles_on_headwear,頭装備のゴーグル
burn_scar,火傷跡
sparkle_background,キラキラ背景
big_belly,大きな腹
hand_on_another's_chest,他人の胸に手を置く
horned_headwear,角付き頭装備
neck_tattoo,首のタトゥー
paradis_military_uniform,パラディ軍服
surreal,シュール
scowl,しかめ面
open_dress,オープンドレス
white_scrunchie,白いスクランチ
left-handed,左利き
au_ra,アウラ
capri_pants,カプリパンツ
talons,鉤爪
bra_peek,ブラ覗き見
button_badge,ボタンバッジ
weibo_logo,微博ロゴ
hiding,隠れる
frying_pan,フライパン
peeing_self,失禁
rudder_footwear,舵輪履物
red_eyeliner,赤アイライナー
nanamori_school_uniform,七森学校制服
cupcake,カップケーキ
shouji,衝立
trash_can,ゴミ箱
hand_on_another's_back,他人の背中に手を置く
megaphone,メガホン
holding_drink,飲み物を持っている
shovel,シャベル
wiffle_gag,ウィッフルガグ
hair_tie_in_mouth,口にヘアタイ
black_scrunchie,黒いスクランチ
subtitled,字幕付き
white_headband,白いヘアバンド
blue-framed_eyewear,青縁眼鏡
nightcap,ナイトキャップ
abstract_background,抽象背景
duel,決闘
bangs_pinned_back,前髪留め
skates,スケート靴
squirrel_tail,リス尻尾
hair_twirling,髪をくるくる
bird_on_head,頭上の鳥
owl,フクロウ
submerged,水中没
guro,グロ
exercise,運動
latin_cross,ラテン十字
bubble_tea,タピオカミルクティー
american_flag_dress,星条旗ドレス
layered_bikini,重ね着ビキニ
diamond_button,ダイヤボタン
print_bowtie,プリント蝶ネクタイ
black_camisole,黒キャミソール
trefoil,三つ葉
black_cardigan,黒カーディガン
horn_bow,角弓
naked_sweater,ニットのみ
mochi,餅
pink_apron,ピンクのエプロン
okobo,おこぼ
colored_pubic_hair,色付き陰毛
gas_mask,ガスマスク
newspaper,新聞
green_hairband,緑のヘアバンド
two-tone_swimsuit,ツートーンスイム
grinding,腰振り
rei_no_himo,霊の紐
yoga_pants,ヨガパンツ
kindergarten_uniform,幼稚園制服
piano,ピアノ
horizontal_pupils,横長瞳孔
stained_glass,ステンドグラス
yellow_cardigan,黄色カーディガン
wolf_boy,狼少年
doorway,戸口
black_robe,黒ローブ
horseshoe_ornament,蹄鉄装飾
??,困惑
prone_bone,後背位
rabbit_pose,ウサギのポーズ
hand_over_own_mouth,自らの口を覆う
sidelighting,サイド照明
basketball_(object),バスケットボール(物体)
green_bra,緑のブラジャー
hallway,廊下
hagoromo,羽衣
writing,書く
in_box,箱の中
holding_smoking_pipe,パイプを持っている
snot,鼻水
spill,こぼす
carrying_person,人を抱える
tie_clip,タイバー
speaker,スピーカー
1koma,1コマ
chef_hat,シェフ帽
diffraction_spikes,光芒
santa_dress,サンタドレス
high-waist_shorts,ハイウエストショーツ
green_thighhighs,緑のニーソ
uranohoshi_school_uniform,浦の星学園制服
orange_gloves,オレンジの手袋
black_mask,黒マスク
heart_tattoo,ハートのタトゥー
rabbit_hood,ウサギフード
aiming_at_viewer,鑑賞者に向けて
lifting_another's_clothes,他人の服を持ち上げる
four-leaf_clover,四つ葉のクローバー
excalibur_(fate/stay_night),エクスカリバー(Fate)
tunic,チュニック
grenade,グレネード
grey_sky,灰色の空
magazine_cover,雑誌表紙
rabbit_print,ウサギ模様
public_nudity,公衆の前の裸体
cum_on_stomach,腹部の精液
japari_symbol,ジャパリマーク
crossed_ankles,足首を組む
purple_sleeves,紫の袖
frogtie,カエル縛り
mechanical_parts,機械部品
dragon_print,ドラゴン模様
spider_web_print,蜘蛛の巣模様
sleeveless_sweater,ノースリーブセーター
ankle_socks,アンクレットソックス
stuffed_cat,ぬいぐるみの猫
shikishi,色紙
black_lips,黒い唇
earbuds,イヤホン
grey_socks,グレーの靴下
