Tag(English),Tag(Japanese),Count
projectile_cum,飛翔精液,458
halter_dress,ホルタードレス,458
faulds,腰鎧,456
expressions,表情,456
rifle,ライフル,456
forehead_mark,額の印,455
huge_weapon,巨大武器,454
brown_apron,茶色エプロン,453
torture,拷問,452
holster,ホルスター,451
emblem,エンブレム,451
muscular_male,筋肉質男性,447
family,家族,447
stealth_sex,隠れ性行為,447
yugake,弽,446
bath_yukata,浴衣,446
lotion,ローション,445
firing,発砲,444
office,オフィス,444
aqua_skirt,アクアスカート,444
orange_dress,オレンジドレス,444
spatula,スパチュラ,444
multiple_riders,複数のライダー,443
text_messaging,テキストメッセージ,443
denim_jacket,デニムジャケット,442
everyone,全員,442
brown_sweater,茶色のセーター,442
soap_bottle,石鹸ボトル,441
dark_blue_hair,濃い青髪,441
window_blinds,ブラインド,440
leaf_hair_ornament,葉の髪飾り,440
aerial_fireworks,打ち上げ花火,440
thermos,魔法瓶,439
red_sweater,赤セーター,438
purple_thighhighs,紫のソックス,438
o3o,o3o（顔文字）,438
banner,バナー,434
purple_hakama,紫色の袴,434
over-rim_eyewear,眼鏡の上から,430
pocky,ポッキー,430
basketball_(object),バスケットボール(物体),429
toeless_footwear,つま先なし履物,429
on_grass,草の上,429
two_tails,ツインテール,429
aqua_shorts,アクアショーツ,428
frilled_shorts,フリル付きショーツ,428
fat_mons,膨らんだ陰丘,428
coffee,コーヒー,427
fairy,妖精,425
multicolored_background,多色背景,425
mittens,ミトン,424
visor_cap,バイザー付き帽子,424
colored_sclera,有色強膜,424
tankini,タンキニ,423
cobblestone,敷石,422
grey_socks,グレーの靴下,422
hooded_cloak,フード付きマント,422
single_kneehigh,片膝丈靴下,420
oil-paper_umbrella,油紙傘,420
lighthouse,灯台,420
wine,ワイン,419
patchwork_skin,パッチワーク肌,419
green_bowtie,緑蝶ネクタイ,418
character_profile,キャラクター紹介,418
tamamo_(fate),タマモ（Fate）,418
black_cat,黒猫,417
monocle,モノクル,417
cockpit,コックピット,417
hitachi_magic_wand,ヒタチマジックワンド,417
pink_one-piece_swimsuit,ピンクのワンピース水着,417
zoom_layer,拡大レイヤー,417
hand_on_own_knee,自分の膝に手,416
robot_ears,ロボット耳,416
strawberry_hair_ornament,イチゴ髪飾り,415
red_collar,赤い首輪,415
iphone,iPhone,415
grey_dress,グレーのドレス,413
hands_on_own_thighs,自分の腿に手,412
mechanical_pencil,シャープペンシル,412
seatbelt,シートベルト,411
red_cardigan,赤いカーディガン,411
scar_on_face,顔の傷跡,410
glowing_eye,輝く目,410
wrist_ribbon,手首リボン,409
multicolored_legwear,多色レッグウェア,409
green_flower,緑の花,409
yokozuwari,横座り,408
pillarboxed,額縁付き,408
>_o,>_o（顔文字）,407
assertive_female,積極的女性,407
shota,ショタ,407
paintbrush,絵筆,406
bikini_under_clothes,服の下のビキニ,406
policewoman,女性警察官,405
castle,城,403
mask_on_head,頭上マスク,403
sex_machine,セックスマシーン,403
bokeh,ボケ効果,402
twincest,双子近親相姦,401
no_pupils,瞳孔なし,401
sandwich,サンドイッチ,401
chinese_text,中国語テキスト,400
analog_clock,アナログ時計,400
patchouli_knowledge,パチュリー・ノーレッジ,400
electric_fan,扇風機,400
arch,アーチ,399
brushing_hair,髪を梳かす,398
stethoscope,聴診器,398
grey_gloves,灰色手袋,398
green_kimono,緑の着物,397
round_eyewear,丸眼鏡,396
knees_up,膝を立てて,396
boat,ボート,396
rectangular_mouth,四角い口,395
sleeveless_jacket,ノースリーブジャケット,395
popsicle,アイスキャンディー,395
surgical_mask,サージカルマスク,395
fundoshi,ふんどし,394
gym_shirt,体操シャツ,394
cum_on_penis,ペニスの精液,392
yellow_sky,黄色い空,392
blending,ブレンディング,392
unworn_clothes,未着用服,392
soaking_feet,足浸け,391
pink_nails,ピンク爪,390
recording,録音中,389
taut_shirt,張ったシャツ,389
hand_over_own_mouth,自らの口を覆う,388
polka_dot_legwear,水玉脚衣,388
key,鍵,388
purple_pants,紫のパンツ,388
american_flag,アメリカ国旗,388
penis_to_breast,ペニスを胸に,387
open_door,開いたドア,387
thighlet,腿留め,387
duel,決闘,387
curtain_grab,カーテンをつかむ,387
frilled_gloves,フリル付き手袋,387
solid_circle_eyes,塗りつぶし丸目,387
nipple_clamps,乳首のクランプ,386
hill,丘,385
aqua_ribbon,アクアリボン,385
credits,クレジット,385
storefront,店先,385
showgirl_skirt,ショーガールスカート,384
pink_headwear,ピンクの頭飾り,384
holding_wand,杖保持,384
food_on_face,顔の食べ物,384
wolf_tail,狼の尻尾,383
holographic_interface,ホログラフィックインターフェース,382
onigiri,おにぎり,382
rabbit,ウサギ,382
blue_camisole,青いキャミソール,382
screen,画面,382
baggy_pants,バギーパンツ,381
yagasuri,矢絣,381
braided_ponytail,編み込みポニーテール,381
ice_cream_cone,アイスクリームコーン,380
drawing_bow,弓を引く,380
partially_unbuttoned,部分的にボタン外し,380
sidelighting,サイド照明,379
town,街,377
purple_gloves,紫の手袋,376
checkered_clothes,チェック服,376
user_interface,ユーザーインターフェース,376
baseball_cap,野球帽,376
on_one_knee,片膝立てて,376
throne,玉座,376
unworn_eyewear,かけていない眼鏡,375
pectorals,胸筋,374
swimming,水泳,374
green_hairband,緑のヘアバンド,374
death,死,374
fox_girl,狐娘,374
fog,霧,374
brown_panties,茶色のパンティ,373
employee_uniform,従業員制服,373
vertical-striped_dress,縦縞ドレス,373
aqua_shirt,アクアシャツ,372
restroom,トイレ,372
legs_over_head,脚が頭上に,372
chips_(food),ポテトチップス,371
molestation,痴漢,371
beanie,ビーニー,371
crane_game,クレーンゲーム,370
basketball,バスケットボール,370
toe_scrunch,つま先丸め,369
racket,ラケット,369
kasumigaoka_utaha,霞ヶ丘詩羽,369
on_head,頭上に,369
torn_pants,破れたパンツ,368
waves,波,368
alternate_hairstyle,別ヘアスタイル,368
button_badge,ボタンバッジ,368
black_serafuku,黒セーラー服,367
pink_camisole,ピンクキャミソール,367
grey_necktie,灰色ネクタイ,367
finger_in_own_mouth,自分の指を口に,366
facing_another,他者と向き合い,366
oven,オーブン,365
hands_on_another's_face,他人の顔に手を置く,365
tennis_racket,テニスラケット,365
pink_theme,ピンクテーマ,364
blue_choker,青いチョーカー,364
lounge_chair,ラウンジチェア,364
holding_underwear,下着を持っている,364
untied_bikini,未着用ビキニ,362
white_bowtie,白い蝶ネクタイ,361
wardrobe_malfunction,服装トラブル,361
animal_on_head,頭上の動物,360
steering_wheel,ハンドル,359
flag_print,旗プリント,359
taut_clothes,張った服,359
aquarium,水族館,358
card_(medium),カード（媒体）,358
hanging_light,吊り下げ照明,358
hand_on_own_head,自分の頭に手,358
writing,書く,358
apple,リンゴ,357
orange_necktie,オレンジのネクタイ,357
bow_legwear,リボン付き脚衣,356
short_eyebrows,短い眉毛,355
whisk,泡立て器,355
kettle,やかん,355
imagining,想像中,355
purple_sash,紫色のサッシュ,354
orange_bowtie,オレンジ蝶ネクタイ,354
yellow_hoodie,黄色パーカー,354
yellow_theme,黄色テーマ,354
tassel_hair_ornament,房飾り,354
tomato,トマト,353
5boys,5人の少年,353
green_skin,緑の肌,353
1other,1人のその他,353
yaoi,やおい,353
bandaid_on_face,顔の絆創膏,352
hip_vent,腰のスリット,352
table_humping,テーブルで腰を振る,352
carrot,ニンジン,352
peeking_out,覗き見,351
crt,ブラウン管,351
cutting_board,まな板,351
multicolored_stripes,多色のストライプ,350
aqua_bow,アクアボウ,350
tiger_tail,虎の尾,349
stone_lantern,石灯籠,349
pink_gloves,ピンク手袋,349
one-eyed,隻眼,349
sunflower_hair_ornament,ひまわりの髪飾り,349
disembodied_limb,切り離された手足,348
grand_piano,グランドピアノ,348
ferris_wheel,観覧車,347
traffic_light,信号機,347
crotch,股間,347
playstation_controller,プレイステーションコントローラー,347
impossible_swimsuit,不可能な水着,347
orange_theme,オレンジ色のテーマ,347
garden,庭園,346
breastfeeding,母乳育児,345
brown_background,茶背景,345
blank_censor,空白検閲,345
speech_bubble,吹き出し,345
d:,悲しみの顔,344
slit_pupils,縦長瞳孔,344
cross_hair_ornament,十字髪飾り,344
mismatched_bikini,左右違うビキニ,343
polka_dot_ribbon,水玉模様のリボン,343
axe,斧,343
noodles,麺類,343
yellow_hairband,黄色ヘアバンド,342
torn_skirt,破れたスカート,342
print_sarong,柄のサロン,341
dakimakura_(medium),抱き枕（媒体）,341
holding_plate,皿を保持,341
open_shorts,開いたショーツ,341
crepe,クレープ,341
planet,惑星,340
blue_sleeves,青い袖,340
bestiality,獣姦,340
sweater_around_waist,腰に巻いたセーター,340
crack,ひび割れ,340
covering_face,顔覆い,340
film_grain,フィルム粒子,340
holding_scythe,鎌を持っている,340
company_name,会社名,339
overall_shorts,オーバーオールショーツ,339
dirty,汚い,339
speed_lines,スピード線,338
stage,舞台,338
doughnut,ドーナツ,338
stone_wall,石壁,337
hand_on_glass,ガラスに手を置く,337
licking_finger,指を舐める,337
blue_coat,青いコート,337
husband_and_wife,夫婦,336
ankle_ribbon,足首リボン,336
torn_leotard,破れたレオタード,336
beach_umbrella,ビーチパラソル,336
ornate_border,華やかな境界線,335
white_necktie,白ネクタイ,335
cosplay,コスプレ,335
v_over_eye,V字目隠し,335
rubber_duck,ラバーダック,335
oversized_clothes,大きすぎる服,334
holographic_monitor,ホログラフィックモニター,334
smoking,喫煙,334
blood_on_leg,脚に血,334
guided_penetration,誘導された挿入,334
black_flower,黒い花,333
ribbed_legwear,リブ付きレッグウェア,333
stuffed_cat,ぬいぐるみの猫,332
striped_sleeves,ストライプ袖,332
negligee,ネグリジェ,332
thong,Tバック,332
finger_sucking,指を吸う,332
lower_body,下半身,331
sleeveless_turtleneck,ノースリーブタートルネック,331
mat,マット,331
red_nails,赤爪,330
deerstalker,ディアストーカー帽,330
unbuttoned_shirt,ボタン開きシャツ,330
unsheathed,鞘から抜いた,329
brushing_another's_hair,他人の髪をブラッシング,329
locked_arms,腕組み,328
index_fingers_together,人差し指同士合わせ,328
cane,杖,328
mimikaki,耳かき,328
mouth_drool,口のよだれ,326
strawberry_print,イチゴ柄,325
butterfly_print,蝶柄,325
penis_on_ass,尻の上にペニス,325
artificial_vagina,人工膣,325
blue_overalls,青いオーバーオール,324
black_ascot,黒アスコット,324
holding_tray,トレイを持って,324
chikan,痴漢,324
frilled_kimono,フリル着物,323
nearly_naked_apron,ほぼ裸エプロン,323
billboard,看板,323
tress_ribbon,髪飾りリボン,323
convenience_store,コンビニエンスストア,322
covered_mouth,口を覆って,322
rice_bowl,茶碗,322
star-shaped_pupils,星形の瞳孔,321
fireplace,暖炉,321
fur-trimmed_gloves,毛皮縁取り手袋,321
wind_turbine,風力タービン,321
2000s_(style),2000年代風,321
asymmetrical_clothes,非対称服,320
musical_note_hair_ornament,音符の髪飾り,320
perky_breasts,張りのある乳房,320
looking_at_mirror,鏡を見る,319
clone,クローン,319
lace-trimmed_skirt,レース縁スカート,319
no_lineart,線画なし,319
triple_penetration,トリプルペネトレーション,318
gaping,ガーピング,318
hose,ホース,318
exhibitionism,露出狂,317
credits_page,クレジットページ,317
green_footwear,緑の履物,317
kitchen_knife,包丁,317
heart_pasties,ハートパスティ,317
fighting_stance,戦闘態勢,316
cross-section,断面図,316
fish_print,魚プリント,316
hands_on_own_stomach,自分のお腹に手を当てる,316
tube_top,チューブトップ,315
school_briefcase,スクールブリーフケース,315
smelling,嗅いでいる,315
tiger_ears,虎の耳,314
double_v,ダブルVサイン,314
brown_scarf,茶色マフラー,314
punching,パンチ,313
autumn,秋,313
white_choker,白いチョーカー,313
painting_(action),絵を描く（動作）,313
cookie,クッキー,312
infirmary,医務室,312
air_bubble,気泡,312
shopping,ショッピング,312
selfie,自撮り,311
video_game,テレビゲーム,311
pink_sky,ピンク色の空,310
what,困惑,310
rolling_eyes,白目をむいて,309
layered_bikini,重ね着ビキニ,309
skin_tight,スキンタイト,309
holding_arrow,矢を持っている,309
pink_tank_top,ピンクのタンクトップ,308
crop_top_overhang,クロップトップのはみ出し,308
print_dress,プリントドレス,308
bikini_shorts,ビキニショーツ,308
sideless_outfit,サイドレス衣装,308
fitting_room,試着室,307
puff_of_air,ため息,306
toenail_polish,つま先ネイル,306
barrel,樽,305
ice,氷,305
arm_around_neck,首に腕を回す,305
dolphin_shorts,ドルフィンショーツ,305
blood_splatter,血飛沫,305
spring_(season),春,305
blue_capelet,青いケープレット,305
shushing,シーッ,304
red_gemstone,赤い宝石,304
enmaided,メイド姿で,302
stubble,無精ひげ,302
drinking,飲酒中,302
evil_smile,悪笑,302
folding_chair,折りたたみ椅子,302
realistic,写実的,302
chef_hat,シェフ帽,301
rudder_footwear,舵輪履物,301
animal_slippers,動物のスリッパ,301
heart_ahoge,ハートアホ毛,301
tareme,タレ目,301
chain_leash,チェーンリード,300
colored_eyelashes,色付きまつげ,300
jersey,ジャージ,299
naked_kimono,裸に着物,299
parasol,パラソル,299
fusuma,襖,299
traditional_media,伝統的媒体,299
tamagoyaki,玉子焼き,298
body_writing,ボディライティング,298
flag,旗,298
fur-trimmed_headwear,毛皮縁頭装具,298
spear,槍,297
waterfall,滝,296
radio,ラジオ,296
glowing_weapon,輝く武器,296
police_hat,警察帽,295
white_feathers,白い羽,295
old_woman,老女,295
note,音符,294
balloon,風船,294
purple_headwear,紫の頭飾り,293
food_stand,屋台,293
smelling_clothes,服の匂いを嗅ぐ,293
swing,ブランコ,293
...,沈黙,293
summer_festival,夏祭り,292
wheelchair,車椅子,292
armpit_sex,脇の下セックス,291
toilet_stall,トイレの個室,291
manga_(object),漫画（物体）,291
tree_shade,木陰,291
testicle_grab,睾丸を掴む,291
tokyo_(city),東京（都市）,291
white_hoodie,白いフーディ,291
pointer,指示棒,291
christmas_tree,クリスマスツリー,290
pilot_suit,パイロットスーツ,290
black_camisole,黒キャミソール,289
elevator,エレベーター,289
covering_own_eyes,自らの目を覆う,288
flip_phone,折り畳み式携帯電話,288
two-tone_jacket,二色ジャケット,288
beer,ビール,288
oekaki,お絵描き,288
asymmetrical_docking,非対称ドッキング,287
perpendicular_paizuri,垂直パイズリ,287
knee_up,膝を上げて,287
black_nails,黒爪,286
chibi_inset,ちびキャラ挿入,286
sparkling_eyes,キラキラ目,286
tail_bell,尾の鈴,286
ramen,ラーメン,286
page_number,ページ番号,285
sitting_on_desk,机に座る,285
shimenawa,注連縄,285
green_apron,緑エプロン,285
food_on_body,体上の食べ物,284
dancing,踊って,284
detective,探偵,284
print_thighhighs,プリント太ももハイ,284
gift,贈り物,283
egg,卵,283
hands_on_lap,膝の上に手,282
orange_rose,オレンジ色のバラ,282
sick,病気,282
invisible_man,透明人間,281
lanyard,ランヤード,281
braided_bun,編み込みシニヨン,280
purple_hairband,紫ヘアバンド,279
yellow_pants,黄色のパンツ,279
ankle_lace-up,足首紐結び,279
purple_socks,紫の靴下,279
low_wings,低い翼,279
food_art,食品アート,279
amusement_park,遊園地,279
unfastened,留められていない,279
nagato_yuki,長門有希,279
split_screen,分割画面,278
legs_together,脚を閉じて,278
bara,バラ,278
wagashi,和菓子,278
orange_scarf,オレンジスカーフ,277
volleyball_(object),バレーボール（物体）,277
electric_guitar,エレキギター,277
arm_guards,アームガード,277
sailor_hat,セーラー帽,276
sake,酒,276
heart_earrings,ハートイヤリング,276
bustier,ビスチェ,276
sparkler,線香花火,276
laser,レーザー,276
public_nudity,公衆の前の裸体,276
drink_can,ドリンク缶,275
island,島,275
sitting_on_stairs,階段に座る,274
drop_shadow,ドロップシャドウ,274
orange_hoodie,オレンジフーディー,274
tamamo_no_mae_(fate/extra),玉藻の前（Fate/Extra）,274
slime_(creature),スライム（生物）,273
scroll,巻物,273
animal_on_shoulder,肩の動物,273
holding_animal,動物を持って,273
sexually_suggestive,性的暗示,272
brown_bow,茶色のリボン,272
mini_crown,ミニクラウン,271
holding_panties,パンティを持っている,271
green_rose,緑色のバラ,271
railroad_tracks,線路,271
hand_on_another's_ass,他人のお尻に手,271
floating,浮遊,270
purple_vest,紫のベスト,270
hat_ribbon,帽子のリボン,270
dog_girl,犬娘,270
portrait_(object),肖像画（物体）,269
akemi_homura,暁美ほむら,269
white_sash,白サッシュ,269
orgy,乱交,269
cake_slice,ケーキの一切れ,269
after_ejaculation,射精後,269
against_fourth_wall,第四の壁に逆らう,268
white_eyes,白目,268
whip,鞭,268
breast_envy,乳房羨望,268
priest,司祭,267
apartment,アパート,267
blue_border,青枠,267
stroking_own_chin,自分のあごを撫でる,267
red_carpet,レッドカーペット,266
blood_from_mouth,口から血,265
afloat,浮かんで,265
white_cardigan,白カーディガン,264
four-leaf_clover_hair_ornament,四つ葉のクローバーの髪飾り,264
energy_sword,エネルギーの剣,264
black_collar,黒い襟,264
sketchbook,スケッチブック,263
backless_outfit,背中の開いた服,263
gown,ガウン,263
pants_tucked_in,ズボンをしまう,263
white_camisole,白キャミソール,262
fur_collar,毛皮の襟,262
hair_brush,ヘアブラシ,262
folded_fan,折りたたみ扇子,262
ribbon-trimmed_clothes,リボン飾り服,262
id_card,IDカード,262
moaning,うめき声,261
watermark,ウォーターマーク,261
wine_bottle,ワインボトル,261
rainbow,虹,260
suitcase,スーツケース,260
nightcap,ナイトキャップ,260
yellow_vest,黄色いベスト,260
under_kotatsu,こたつの中,260
red_rope,赤いロープ,260
aiming_at_viewer,鑑賞者に向けて,259
oversized_shirt,特大シャツ,259
window_shade,窓覆い,259
peeing_self,失禁,258
fireflies,蛍,258
amputee,切断者,258
potato_chips,ポテトチップス,258
fate_testarossa,フェイト・テスタロッサ,257
scabbard,鞘,257
dog_tags,認識票,257
animal_collar,動物用首輪,257
bandaid_on_knee,膝の絆創膏,257
long_ribbon,長いリボン,256
red_choker,赤いチョーカー,255
dressing,着替え,255
mixing_bowl,ボウル,255
treble_clef,ト音記号,255
pencil_case,筆箱,255
reaching_towards_viewer,視聴者に向けて手を伸ばして,254
water_bottle,水筒,254
breastless_clothes,乳房無し服,253
orc,オーク,253
creature,クリーチャー,253
neon_lights,ネオンサイン,253
pancake,パンケーキ,252
roman_numeral,ローマ数字,252
timestamp,タイムスタンプ,252
rabbit_print,ウサギ模様,251
garrison_cap,ギャリソンキャップ,251
chat_log,チャットログ,251
paper_fan,扇子,251
bear_costume,クマのコスチューム,251
vambraces,腕鎧,250
asymmetrical_bangs,非対称前髪,250
shopping_bag,ショッピングバッグ,250
autumn_leaves,紅葉,250
uterus,子宮,250
heads-up_display,ヘッドアップディスプレイ,250
breast_focus,胸のクローズアップ,250
strap-on,ストラップオン,250
fake_phone_screenshot,偽電話スクリーンショット,249
stylus,スタイラス,249
bamboo,竹,248
wrinkled_skin,しわしわ肌,248
grabbing_another's_hair,他人の髪掴み,248
ghost,幽霊,248
rapier,レイピア,248
microphone_stand,マイクスタンド,247
multicolored_bikini,多色ビキニ,247
highleg_panties,ハイレグパンティ,247
boxers,ボクサーパンツ,247
open-chest_sweater,胸開きセーター,247
hand_on_another's_chin,他人の顎に手,247
wa_lolita,和ロリ,247
orange_jacket,オレンジジャケット,247
print_shorts,プリント柄のショートパンツ,246
laughing,笑って,246
title,タイトル,246
crystal,水晶,246
green_sleeves,緑の袖,245
testicle_sucking,睾丸を吸う,245
nippleless_clothes,乳首なし衣装,245
orange_bra,オレンジ色のブラ,245
beachball,ビーチボール,244
stone_stairs,石の階段,244
brown_bra,茶色のブラ,244
elbow_pads,エルボーパッド,244
yellow_nails,黄色の爪,244
striped_pantyhose,縞パンスト,244
pale_skin,青白い肌,243
sushi,寿司,243
cash_register,レジ,243
guro,グロ,243
red_sailor_collar,赤セーラー襟,243
sound_effects,効果音,243
reference_sheet,設定資料,243
light_smile,微笑み,242
heart_hands,ハート形の手,242
folded_hair,折りたたまれた髪,242
ship,船,242
earphones,イヤホン,242
salad,サラダ,242
two-handed,両手持ち,242
object_on_head,頭上の物体,242
single_shoe,片方の靴,242
halloween,ハロウィン,242
fur-trimmed_coat,毛皮縁取りコート,242
pinstripe_suit,ピンストライプスーツ,241
bear_hood,クマのフード,241
kimono_pull,着物を引っ張る,241
laurel_crown,月桂冠,240
shide,紙垂,240
mature_male,成熟男性,240
burger,ハンバーガー,240
surprise_kiss,不意打ちキス,240
ass_focus,尻に焦点,240
onee-shota,おねショタ,239
comforting,慰める,239
rounded_corners,丸い角,239
thought_bubble,思考フキダシ,239
yawning,あくび,239
acoustic_guitar,アコースティックギター,239
blue_hakama,青い袴,239
white_outline,白枠,239
shirt_grab,シャツをつかむ,238
jar,瓶,238
curry,カレー,238
kabedon,壁ドン,238
nude_cover,裸体隠し,238
dragon,竜,237
tokkuri,徳利,237
blood_on_hands,手の血,237
lapels,ラペル,236
suggestive_fluid,示唆的な液体,236
brick_floor,レンガの床,236
curly_hair,カーリーヘア,236
letter,手紙,236
bartender,バーテンダー,236
scissors,ハサミ,236
dagger,短剣,235
hanfu,漢服,235
pant_suit,パンツスーツ,235
kyon,キョン,235
lights,照明,234
dominatrix,ドミナトリクス,234
gloom_(expression),憂鬱な表情,234
biting,噛みつき,233
blue_hoodie,青いフーディ,233
paper_lantern,提灯,233
artoria_pendragon_(fate),アルトリア・ペンドラゴン（Fate）,232
omurice,オムライス,232
slap_mark,平手打ち痕,232
tail_grab,尾をつかむ,232
pastry,ペイストリー,232
hair_stick,かんざし,232
unworn_helmet,未装着ヘルメット,232
art_brush,画筆,231
striped_pants,縞パンツ,231
highleg_bikini,ハイレグビキニ,231
valentine,バレンタイン,231
multiple_persona,多重人格,231
vertical-striped_bikini,縦縞のビキニ,230
animal_ear_legwear,動物耳脚衣,230
bicycle_basket,自転車のかご,230
very_short_hair,超ショートヘア,230
jet,ジェット機,229
official_alternate_costume,公式別衣装,229
fairy_wings,妖精の翼,229
open_hands,開いた手,229
butler,執事,228
hammer,ハンマー,228
plaid_background,チェック背景,228
whiskers,ひげ,227
lightning,稲妻,227
tiered_tray,段重ねトレイ,227
hair_between_breasts,胸の間の髪,227
pantylines,パンティライン,226
lower_teeth_only,下歯のみ,226
screaming,叫び,226
nipple_pull,乳首を引っ張る,226
hairdressing,理髪,226
thigh_ribbon,腿リボン,226
hands_on_another's_cheeks,他人の頬に両手,226
antlers,角,225
cum_pool,精液溜まり,225
spaghetti_strap,スパゲッティストラップ,225
contrapposto,コントラポスト,225
trench_coat,トレンチコート,225
motorcycle,オートバイ,224
board_game,ボードゲーム,224
shared_umbrella,相合傘,224
hand_on_lap,膝の上の手,224
brick,レンガ,224
colored_nipples,色つきの乳首,224
dragon_girl,竜娘,224
negative_space,ネガティブスペース,224
plastic_bag,ビニール袋,223
!,感嘆符,223
energy_beam,エネルギービーム,223
energy,エネルギー,223
sleeves_past_elbows,肘越し袖,223
cum_on_hands,手の上の精液,223
sidesaddle,横乗り,223
hooded_coat,フード付きコート,222
palms_together,合掌,222
lineup,整列,221
skull_hair_ornament,髑髏髪飾り,221
forced_orgasm,強制オーガズム,221
happy_birthday,誕生日おめでとう,220
lace_panties,レースパンティ,220
blue_leotard,青いレオタード,220
saber_(fate),セイバー（Fate）,220
:>=,不機嫌な顔,219
pet_play,ペットプレイ,219
shooting_star,流れ星,219
foot_focus,足に焦点,219
purple_sweater,紫のセーター,219
meat,肉,218
candy_apple,キャンディアップル,218
stitched_arm,縫い付けられた腕,218
single_pantsleg,片脚パンツ,218
sleeping_upright,直立睡眠,218
newspaper,新聞,217
battle_axe,戦斧,217
fur-trimmed_jacket,毛皮縁取りジャケット,217
towel_around_neck,首のタオル,217
walk-in,歩き込み,217
dissolving,溶けていく,217
black_umbrella,黒い傘,217
open_hand,開いた手,216
gym,体育館,216
thrusters,スラスター,216
projectile_lactation,発射する授乳,216
kaname_madoka,鹿目まどか,216
hand_in_another's_hair,他人の髪に手を,216
green_headwear,緑の頭飾り,215
plump,ふっくら,215
confetti,紙吹雪,215
milky_way,天の川,215
dark_aura,闇のオーラ,215
panties_under_shorts,ショーツの下にパンティー,214
bridal_lingerie,ブライダルランジェリー,214
water_drop,水滴,214
white_theme,白のテーマ,214
industrial_pipe,工業用パイプ,213
map,地図,213
kirito,キリト,213
skull,頭蓋骨,213
playground,遊び場,212
jack-o'-lantern,ジャック・オー・ランタン,212
split,分裂,212
fins,ヒレ,212
chalk,チョーク,212
after_paizuri,パイズリ後,212
bear_ears,クマ耳,212
kappougi,割烹着,212
watering_can,じょうろ,211
test_tube,試験管,211
lifting_another's_clothes,他人の服を持ち上げる,211
extra_ears,追加の耳,211
leaning_on_person,人にもたれかかる,211
sleeveless_sweater,ノースリーブセーター,211
uchikake,打ち掛け,211
yellow_sweater_vest,黄色いセーターベスト,211
floral_background,花柄背景,209
loose_necktie,緩いネクタイ,209
holding_instrument,楽器を持って,209
hand_under_shirt,シャツの下に手,208
company_connection,会社関連,208
pink_leotard,ピンクのレオタード,208
loose_belt,緩めたベルト,208
yellow_socks,黄色い靴下,208
holding_cane,杖を持っている,207
bamboo_forest,竹林,207
milking_machine,搾乳機,207
flaccid,萎れた,207
hand_grab,手を掴む,207
shinai,竹刀,207
fur-trimmed_skirt,毛皮飾りスカート,207
in_tree,木の中,207
mandarin_orange,みかん,206
shimamura_uzuki,島村卯月,206
uchiwa,団扇,206
neckwear_grab,首飾りをつかむ,206
necktie_grab,ネクタイをつかむ,206
skyline,スカイライン,206
broom_riding,箒乗り,206
comb,櫛,206
cat_ear_legwear,猫耳のレッグウェア,205
hanten_(clothes),袢纏 (はんてん),205
birthday_cake,誕生日ケーキ,205
stretching,ストレッチして,205
drunk,酔って,205
afterimage,残像,205
hooded_cardigan,フード付きカーディガン,204
penguin,ペンギン,203
footprints,足跡,203
internal_cumshot,体内射精,202
lips,唇,202
red_belt,赤いベルト,201
tsukioka_kogane,月岡恋鐘,201
violin,バイオリン,201
long_shirt,長袖シャツ,201
fetal_position,胎児の姿勢,201
grey_pantyhose,灰色パンスト,200
frilled_shirt_collar,フリルシャツカラー,200
pocket_watch,懐中時計,200
baseball_uniform,野球ユニフォーム,200
deepthroat,ディープスロート,200
clock_tower,時計塔,200
ice_cube,氷塊,200
pussy_juice_trail,愛液の筋,199
frilled_capelet,フリルケープ,199
red_sleeves,赤い袖,199
korean_text,韓国語テキスト,199
canopy_bed,天蓋付きベッド,199
tachibana_arisu,橘ありす,199
braided_hair_rings,編みこみリング,199
sitting_on_bench,ベンチに座る,198
dragon_wings,竜の翼,198
fighter_jet,戦闘機,198
spotlight,スポットライト,198
doll,人形,198
vibrator_in_thighhighs,ニーソの中のバイブ,197
backless_dress,バックレスドレス,197
clothes_grab,服を掴む,197
earth_(planet),地球(惑星),197
foreskin,包皮,197
wood,木,197
emoji,絵文字,197
subtitled,字幕付き,197
yandere,ヤンデレ,197
through_wall,壁越し,197
ribbon_bondage,リボン緊縛,196
palette_(object),パレット（物体）,196
bandaged_neck,首の包帯,196
wading_pool,ビニールプール,196
banana,バナナ,195
sports_bikini,スポーツビキニ,195
water_gun,水鉄砲,195
rectangular_eyewear,角型眼鏡,195
crossover,クロスオーバー,195
vegetable,野菜,195
grey_sleeves,灰色の袖,194
sheep_horns,羊の角,194
skin_fang,肌牙,194
striped_background,縞背景,194
orange_kimono,オレンジの着物,193
video_camera,ビデオカメラ,193
fucked_silly,恍惚状態,193
tally,集計,193
purple_rose,紫のバラ,193
falling,落下,193
naked_scarf,裸にスカーフ,193
head_fins,頭部フィン,193
naked_coat,裸にコート,192
shell,貝殻,192
juice_box,ジュースパック,192
on_bench,ベンチの上,192
hatsune_miku,初音ミク,192
tuxedo,タキシード,192
pov_crotch,POV股間,191
breasts_on_table,テーブルの上に乳房,191
photo_background,写真背景,191
kotobuki_tsumugi,琴吹紬,191
red_bandana,赤バンダナ,191
skirt_tug,スカートを引っ張る,190
washing_hair,洗髪,190
chained,鎖で繋がれて,190
snowflake_print,雪の結晶模様,190
winter_uniform,冬服,189
tsurime,ツリ目,189
