Tag(English),Tag(Japanese)
frilled_bra,フリルブラ
frilled_capelet,フリルケープ
frilled_choker,フリルチョーカー
frilled_collar,フリル襟
frilled_dress,フリルドレス
frilled_gloves,フリル手袋
frilled_hairband,フリルヘアバンド
frilled_kimono,フリル着物
frilled_legwear,フリル脚衣
frilled_panties,フリルパンティ
frilled_pillow,フリル枕
frilled_shirt,フリルシャツ
frilled_shirt_collar,フリルシャツ襟
frilled_skirt,フリルスカート
frilled_sleeves,フリル袖
frilled_swimsuit,フリル水着
frills,フリル
fringe_trim,フリンジ飾り
frog,カエル
frog_hair_ornament,髪飾り（カエル）
frogtie,フロッグタイ
from_above,上から
from_behind,後ろから
from_below,下から
from_outside,外から
from_side,横から
front-print_panties,前面プリントパンティ
front-tie_bikini,前結びビキニ
front-tie_top,前結びトップ
front_ponytail,前髪ポニーテール
frottage,擦りつけ
frown,しかめ面
fruit,果物
fruit_on_head,頭の上の果物
frying_pan,フライパン
fu_hua,符華（崩壊3rd）
fubuki_(kancolle),吹雪（艦隊これくしょん）
fucked_silly,恍惚状態（性的）
fujibayashi_kyou,藤林杏（CLANNAD）
fujimaru_ritsuka_(female),藤丸立香（女性）（Fate/Grand Order）
fujimaru_ritsuka_(male),藤丸立香（男性）（Fate/Grand Order）
fujimura_taiga,藤村大河（Fate/stay night）
fujiwara_chika,藤原千花（かぐや様は告らせたい）
fujiwara_no_mokou,藤原妹紅（東方Project）
full-body_tattoo,全身タトゥー
full-face_blush,顔全体の赤面
full-package_futanari,完全なふたなり（陰茎と陰嚢あり）
full_armor,全身鎧
full_body,全身
full_moon,満月
full_nelson,フルネルソン
fume,湯気
fumizuki_(kancolle),文月（艦隊これくしょん）
fundoshi,褌
fur,毛皮
fur-trimmed_boots,毛皮縁取りブーツ
fur-trimmed_cape,毛皮縁取りケープ
fur-trimmed_capelet,毛皮縁取りショートケープ
fur-trimmed_cloak,毛皮縁取りクローク
fur-trimmed_coat,毛皮縁取りコート
fur-trimmed_dress,毛皮縁取りドレス
fur-trimmed_gloves,毛皮縁取りグローブ
fur-trimmed_headwear,毛皮縁取り頭飾り
fur-trimmed_hood,毛皮縁取りフード
fur-trimmed_jacket,毛皮縁取りジャケット
fur-trimmed_kimono,毛皮縁取り着物
fur-trimmed_legwear,毛皮縁取り脚衣
fur-trimmed_shorts,毛皮縁取りショーツ
fur-trimmed_skirt,毛皮縁取りスカート
fur-trimmed_sleeves,毛皮縁取り袖
fur_boots,毛皮ブーツ
fur_cape,毛皮ケープ
fur_coat,毛皮コート
fur_collar,毛皮カラー
fur_hat,毛皮帽子
fur_scarf,毛皮スカーフ
fur_trim,毛皮の縁取り
furisode,振袖
furry,ファリー（獣人）
furry_female,女性ファリー（獣人）
furry_male,男性ファリー（獣人）
furude_rika,古手梨花（ひぐらしのなく頃に）
furudo_erika,古戸ヱリカ（うみねこのなく頃に）
furukawa_nagisa,古河渚（CLANNAD）
furutaka_(kancolle),古鷹（艦隊これくしょん）
furutani_himawari,古谷向日葵（ゆるゆり）
futa_on_male,ふたなりが男性に（行為）
futa_with_female,ふたなりと女性（行為）
futa_with_futa,ふたなり同士（行為）
futa_with_male,ふたなりと男性（行為）
futaba_anzu,双葉杏（アイドルマスター シンデレラガールズ）
futanari,ふたなり
futasub,ふたなりが受け側（行為）
futatsuiwa_mamizou,二ツ岩マミゾウ（東方Project）
futon,布団
g11_(girls'_frontline),G11（少女前線）
gag,猿轡
gagged,猿轡を付けられた
gakuran,学ラン
galaxy,銀河
gambier_bay_(kancolle),ガンビアベイ（艦隊これくしょん）
game_boy,ゲームボーイ
game_console,ゲーム機
game_controller,ゲームコントローラー
gamepad,ゲームパッド
gameplay_mechanics,ゲームプレイメカニクス
gangbang,集団陵辱
ganguro,ガングロ
gaping,ガイピング（拡張された穴）
garden,庭園
gardevoir,サーナイト（ポケモン）
garrison_cap,中折れ帽
garry_(ib),ギャリー（ib）
garter_belt,ガーターベルト
garter_straps,ガーターストラップ
garters,ガーター
gas_mask,ガスマスク
gasai_yuno,我妻由乃（未来日記）
gate,門
gatling_gun,ガトリング砲
gauntlets,ガントレット
gawr_gura,がうる・ぐら（ホロライブ）
gears,歯車
gekkoukan_high_school_uniform,月光館学園制服（ペルソナ3）
gem,宝石
genderswap,性別変換
gengar,ゲンガー（ポケモン）
german_flag,ドイツ国旗
gertrud_barkhorn,ゲルトルート・バルクホルン（ストライクウィッチーズ）
geta,下駄
ghost,幽霊
ghost_costume,幽霊のコスチューム
giant,巨人
giantess,女巨人
gift,贈り物
gift_bag,ギフトバッグ
gift_box,ギフトボックス
gigantic_breasts,巨大な乳房
gilgamesh_(fate),ギルガメッシュ（Fate）
ginkgo_leaf,銀杏の葉
girl_on_top,女上位
girl_sandwich,サンドイッチ（2人に挟まれた1人）
giving,与えている（行為）
giving_up_the_ghost,断末魔
glaceon,グレイシア（ポケモン）
glaring,睨みつけ
glass,ガラス
glasses,眼鏡
glint,きらめき
globe,地球儀
glomp,飛びつきハグ
gloom_(expression),憂鬱な表情
gloved_handjob,手袋をした手コキ
gloves,手袋
glowing,発光
glowing_butterfly,光る蝶
glowing_eye,光る目（片目）
glowing_eyes,光る目
glowing_hair,光る髪
glowing_sword,光る剣
glowing_weapon,光る武器
glowing_wings,光る翼
glowstick,ケミカルライト
goat,ヤギ
goatee,山羊ひげ
goblet,ゴブレット
goblin,ゴブリン
godzilla,ゴジラ
goggles,ゴーグル
goggles_around_neck,首にかけたゴーグル
goggles_on_head,頭の上のゴーグル
goggles_on_headwear,頭飾りについたゴーグル
gohei,御幣
gokou_ruri,五更ルリ（俺の妹がこんなに可愛いわけがない）
gold,金
gold_armor,黄金の鎧
gold_chain,金の鎖
golden_snub-nosed_monkey_(kemono_friends),ゴールデン・スノーブモンキー（けものフレンズ）
goldfish,金魚
golf_club,ゴルフクラブ
good_end,グッドエンド
gothic,ゴシック
gothic_lolita,ゴシックロリータ
gotland_(kancolle),ゴトランド（艦隊これくしょん）
gown,ガウン
grabbing,掴んでいる
grabbing_another's_ass,他人のお尻を掴んでいる
grabbing_another's_chin,他人の顎を掴んでいる
grabbing_another's_hair,他人の髪を掴んでいる
grabbing_from_behind,後ろから掴んでいる
grabbing_own_ass,自分のお尻を掴んでいる
grabbing_own_breast,自分の胸を掴んでいる
gradient,グラデーション
gradient_background,グラデーションバックグラウンド
gradient_clothes,グラデーション服
gradient_eyes,グラデーションの目
gradient_hair,グラデーション髪
gradient_sky,グラデーションの空
graduation,卒業
graf_zeppelin_(kancolle),グラーフ・ツェッペリン（艦隊これくしょん）
graffiti,落書き
grand_piano,グランドピアノ
grapes,葡萄
graphite_(medium),グラファイト（画材）
grass,草
grave,墓
graveyard,墓地
gray_(fate),グレイ（Fate）
greaves,グリーヴ（すね当て）
green-framed_eyewear,緑縁眼鏡
green_apron,緑のエプロン
green_background,緑の背景
green_bikini,緑のビキニ
green_bodysuit,緑のボディスーツ
green_bow,緑のリボン
green_bowtie,緑のボウタイ
green_bra,緑のブラジャー
green_cape,緑のケープ
green_choker,緑のチョーカー
green_coat,緑のコート
green_dress,緑のドレス
green_eyes,緑の目
green_flower,緑の花
green_footwear,緑の履物
green_gloves,緑の手袋
green_hair,緑の髪
green_hairband,緑のヘアバンド
green_hakama,緑の袴
green_headwear,緑の頭飾り
green_hoodie,緑のフーディー
green_jacket,緑のジャケット
green_kimono,緑の着物
green_legwear,緑の脚衣
green_leotard,緑のレオタード
green_nails,緑の爪
green_necktie,緑のネクタイ
green_neckwear,緑のネックウェア
green_panties,緑のパンティー
green_pants,緑のパンツ
green_ribbon,緑のリボン
green_sailor_collar,緑のセーラーカラー
green_scarf,緑のスカーフ
green_scrunchie,緑のスクランチ
green_shirt,緑のシャツ
green_shorts,緑のショーツ
green_skin,緑の肌
green_skirt,緑のスカート
green_sweater,緑のセーター
green_swimsuit,緑の水着
green_tail,緑の尻尾
green_tea,緑茶
green_theme,緑のテーマ
green_vest,緑のベスト
green_wings,緑の翼
grenade,グレネード
grenade_launcher,グレネードランチャー
grey-framed_eyewear,グレー縁眼鏡
grey_background,グレーの背景
grey_bikini,グレーのビキニ
grey_border,グレーの境界線
grey_bra,グレーのブラジャー
grey_dress,グレーのドレス
grey_eyes,グレーの目
grey_footwear,グレーの履物
grey_hair,グレーの髪
grey_hoodie,グレーのフーディー
grey_jacket,グレーのジャケット
grey_legwear,グレーの脚衣
grey_nails,グレーの爪
grey_panties,グレーのパンティー
grey_pants,グレーのパンツ
grey_sailor_collar,グレーのセーラーカラー
grey_scarf,グレーのスカーフ
grey_shirt,グレーのシャツ
grey_skin,グレーの肌
grey_skirt,グレーのスカート
grey_sky,グレーの空
grey_sweater,グレーのセーター
grey_theme,グレーのテーマ
grey_wolf_(kemono_friends),ハイイロオオカミ（けものフレンズ）
greyscale,グレースケール
grill,グリル
grimace,しかめっ面
grimoire,魔導書
grin,ニヤリ
grinding,擦りつけ（性的）
groceries,食料品
grocery_bag,買い物袋
groin,股間
groom,花婿
groping,揉んでいる（胸など）
ground_vehicle,地上車両
group_sex,集団セックス
guided_breast_grab,手を添えた胸揉み
guided_penetration,手を添えた挿入
guido_mista,グイード・ミスタ（ジョジョの奇妙な冒険）
guitar,ギター
guitar_case,ギターケース
gumi,GUMI（VOCALOID）
gun,銃
gun_to_head,頭に銃を突きつけられた
guro,グロテスク
gusset,ガセット（股布部分）
guts_(berserk),ガッツ（ベルセルク）
gwendolyn_(odin_sphere),グウェンドリン（オーディンスフィア）
gyaru,ギャル
gym,ジム
gym_shirt,体操シャツ
gym_shorts,体操ショーツ
gym_storeroom,体育倉庫
gym_uniform,体操服
gymnastics,体操
h&k_hk416,H&K HK416
h&k_ump,H&K UMP
habit,修道服
hachimaki,鉢巻
hadanugi_dousa,肌脱ぎ動作
hagikaze_(kancolle),萩風（艦隊これくしょん）
hagiwara_yukiho,萩原雪歩（アイドルマスター）
hagoita,羽子板
hagoromo,羽衣
hagoromo_lala,羽衣ララ（To LOVEる）
haguro_(kancolle),羽黒（艦隊これくしょん）
hair_beads,髪のビーズ
hair_bell,髪飾りの鈴
hair_between_eyes,目間の前髪
hair_bobbles,ヘアボボ
hair_bow,ヘアボウ
hair_bun,髪のシニョン（結び目）
hair_censor,髪による隠蔽
hair_cones,円錐形の髪
hair_cubes,立方体の髪
hair_down,下ろした髪
hair_flaps,ヘアフラップ（側頭部の髪）
hair_flower,髪飾りの花
hair_in_mouth,口の中の髪
hair_intakes,ヘアインテーク（髪の吸気口状）
hair_ornament,髪飾り
hair_over_breasts,胸にかかった髪
hair_over_eyes,目を覆う髪
hair_over_one_eye,片目を覆う髪
hair_over_shoulder,肩にかかった髪
hair_pulled_back,後ろに引かれた髪
hair_ribbon,ヘアリボン
hair_rings,ヘアリング
hair_scrunchie,ヘアスクランチ
hair_slicked_back,後ろに撫でつけた髪
hair_spread_out,広がった髪
hair_stick,かんざし
hair_strand,一房の髪
hair_tie,ヘアタイ
hair_tie_in_mouth,口にくわえたヘアタイ
hair_tubes,筒状の髪
hair_tucking,耳にかけた髪
hair_twirling,髪をくるくる
hair_up,アップヘア
hairband,ヘアバンド
hairclip,ヘアクリップ
hairdressing,理髪
hairjob,髪コキ（髪による奉仕）
hairlocs,ヘアロックス（ドレッド状）
hairpin,ヘアピン
hairpods,ヘアポッド（髪のイヤホン状）
hairy,毛深い
hakama,袴
hakama_pants,袴パンツ
hakama_short_skirt,袴ショートスカート
hakama_skirt,袴スカート
hakurei_reimu,博麗霊夢（東方Project）
hakurei_shrine,博麗神社
hakuryuu_(inazuma_eleven),白竜（イナズマイレブン）
halberd,ハルバード
half-closed_eyes,半目
half_updo,ハーフアップ
halftone,ハーフトーン
halftone_background,ハーフトーンバックグラウンド
halloween,ハロウィン
halloween_bucket,ハロウィンバケツ
halloween_costume,ハロウィンコスチューム
hallway,廊下
halo,ハロー（光輪）
halter_dress,ホルタードレス
halter_top,ホルタートップ
halterneck,ホルターネック
hamakaze_(kancolle),浜風（艦隊これくしょん）
hammann_(azur_lane),ハムマン（アズールレーン）
hammer_and_sickle,鎌と槌
hammock,ハンモック
hamster,ハムスター
hanami,花見
hanasakigawa_school_uniform,花咲川学園制服
hand_between_legs,股間の手
hand_fan,扇子
hand_grab,手を掴んでいる
hand_in_hair,髪の中の手
hand_in_panties,パンティーの中の手
hand_in_pocket,ポケットの中の手
hand_mirror,手鏡
hand_net,タモ網
hand_on_another's_ass,他人のお尻に手を置いている
hand_on_another's_cheek,他人の頬に手を置いている
hand_on_another's_chest,他人の胸に手を置いている
hand_on_another's_chin,他人の顎に手を置いている
hand_on_another's_face,他人の顔に手を置いている
hand_on_another's_head,他人の頭に手を置いている
hand_on_another's_hip,他人の腰に手を置いている
hand_on_another's_shoulder,他人の肩に手を置いている
hand_on_another's_stomach,他人のお腹に手を置いている
hand_on_another's_thigh,他人の太ももに手を置いている
hand_on_ass,お尻に手を置いている
hand_on_breast,胸に手を置いている
hand_on_eyewear,眼鏡に手を置いている
hand_on_forehead,額に手を置いている
hand_on_headphones,ヘッドホンに手を置いている
hand_on_headwear,頭飾りに手を置いている
hand_on_hip,腰に手を置いている
hand_on_leg,脚に手を置いている
hand_on_own_arm,自分の腕に手を置いている
hand_on_own_ass,自分のお尻に手を置いている
hand_on_own_cheek,自分の頬に手を置いている
hand_on_own_chest,自分の胸に手を置いている
hand_on_own_chin,自分の顎に手を置いている
hand_on_own_face,自分の顔に手を置いている
hand_on_own_head,自分の頭に手を置いている
hand_on_own_knee,自分の膝に手を置いている
hand_on_own_leg,自分の脚に手を置いている
hand_on_own_stomach,自分のお腹に手を置いている
hand_on_own_thigh,自分の太ももに手を置いている
hand_on_thigh,太ももに手を置いている
hand_over_own_mouth,自分の口を手で覆っている
hand_puppet,ハンドパペット
hand_to_own_mouth,手を自分の口に持っていく
hand_under_clothes,服の中の手
hand_up,手を上げている
handbag,ハンドバッグ
handcuffs,手錠
handgun,拳銃
handheld_game_console,携帯ゲーム機
handjob,手コキ
hands,手
hands_in_pockets,ポケットに手を入れて
hands_on_another's_cheeks,他人の頬に両手を置いている
hands_on_another's_face,他人の顔に両手を置いている
hands_on_another's_head,他人の頭に両手を置いている
hands_on_another's_hips,他人の腰に両手を置いている
hands_on_ass,お尻に両手を置いている
hands_on_headwear,頭飾りに両手を置いている
hands_on_hips,腰に両手を置いて
hands_on_lap,膝の上に手を置いて
hands_on_own_ass,自分のお尻に両手を置いている
hands_on_own_cheeks,自分の頬に両手を置いている
hands_on_own_chest,自分の胸に両手を置いている
hands_on_own_face,自分の顔に両手を置いている
hands_on_own_head,自分の頭に両手を置いている
hands_on_own_knees,自分の膝に両手を置いている
hands_on_own_stomach,自分のお腹に両手を置いている
hands_on_own_thighs,自分の太ももに両手を置いている
hands_up,両手を上げて
handsfree_ejaculation,ハンズフリー射精
haneoka_school_uniform,羽ノ丘女学園制服
hanetsuki,羽根つき
hanging,吊るされている
hanging_breasts,垂れた乳房
haniwa_(statue),埴輪
haniyasushin_keiki,埴安神袿姫（東方Project）
hanten_(clothes),半纏
haori,羽織
happi,法被
happy,幸せ
happy_birthday,ハッピーバースデー
happy_halloween,ハッピーハロウィン
happy_new_year,あけましておめでとう
happy_sex,楽しいセックス
happy_tears,嬉し涙
happy_valentine,ハッピーバレンタイン
haramura_nodoka,原村和（咲-Saki-）
harem,ハーレム
harem_outfit,ハーレム衣装
harness,ハーネス
haro,ハロ（ガンダム）
harp,ハープ
harpy,ハーピー
harukaze_(kancolle),春風（艦隊これくしょん）
haruna_(kancolle),榛名（艦隊これくしょん）
haruno_sakura,春野サクラ（NARUTO）
harusame_(kancolle),春雨（艦隊これくしょん）
harvin,ハーヴィン（グランブルーファンタジー）
hasegawa_kobato,長谷川小鳩（僕は友達が少ない）
hashitsuki_nata,端つ木ナタ（東方Project）
hat,帽子
hat_bow,帽子のリボン
hat_feather,帽子の羽飾り
hat_flower,帽子の花飾り
hat_ornament,帽子の飾り
hat_removed,帽子を脱いだ
hat_ribbon,帽子のリボン
hata_no_kokoro,秦こころ（東方Project）
hatsune_miku,初音ミク
hatsushimo_(kancolle),初霜（艦隊これくしょん）
hatsuyuki_(kancolle),初雪（艦隊これくしょん）
hauchiwa,羽団扇
have_to_pee,おしっこしたい
hawaiian_shirt,アロハシャツ
hawks_(boku_no_hero_academia),ホークス（僕のヒーローアカデミア）
hayasaka_ai,早坂愛（かぐや様は告らせたい）
hayasaka_mirei,早坂美玲（アイカツフレンズ！）
hayashimo_(kancolle),早霜（艦隊これくしょん）
head-mounted_display,ヘッドマウントディスプレイ
head_back,頭を後ろに
head_between_breasts,胸の谷間に頭
head_bump,コブ（頭の）
head_chain,頭部の鎖
head_fins,頭部フィン
head_grab,頭を掴まれている
head_on_another's_shoulder,他人の肩にもたれかかっている
head_on_pillow,枕に頭を乗せている
head_out_of_frame,フレームから頭が出ている
head_rest,ヘッドレスト
head_scarf,ヘッドスカーフ
head_tilt,首かしげ
head_wings,頭部の翼
head_wreath,頭冠
headband,ヘッドバンド
headdress,ヘッドドレス
headgear,ヘッドギア
headless,首なし
headpat,頭を撫でる
headphones,ヘッドホン
headphones_around_neck,首にかけたヘッドホン
headpiece,ヘッドピース
heads-up_display,ヘッドアップディスプレイ
heads_together,頭を寄せ合って
headset,ヘッドセット
headwear_removed,頭飾りを外した
health_bar,体力ゲージ
heart,ハート
heart-shaped_box,ハート形の箱
heart-shaped_chocolate,ハート形チョコ
heart-shaped_eyewear,ハート形眼鏡
heart-shaped_lock,ハート形錠
heart-shaped_pupils,ハート形の瞳孔
heart_ahoge,ハートアホ毛
heart_background,ハート背景
heart_balloon,ハート風船
heart_censor,ハート隠蔽
heart_choker,ハートチョーカー
heart_cutout,ハート形の切り抜き
heart_earrings,ハートイヤリング
heart_eyes,ハート目
heart_hair_ornament,ハート髪飾り
heart_hands,ハート形の手
heart_hands_duo,二人でハート形の手
heart_in_eye,目の中のハート
heart_in_mouth,口の中のハート
heart_lock_(kantai_collection),ハートロック（艦隊これくしょん）
heart_necklace,ハートネックレス
heart_of_string,糸で作ったハート
heart_pasties,ハート形ニップレス
heart_pillow,ハート形クッション
heart_print,ハート柄
heart_tail,ハート形の尻尾
heart_tattoo,ハートのタトゥー
heavy_breathing,荒い息
hecatia_lapislazuli,ヘカーティア・ラピスラズリ（東方Project）
heckler_&_koch,ヘッケラー&コッホ
height_chart,身長比較図
height_difference,身長差
helicopter,ヘリコプター
helmet,ヘルメット
helmet_removed,ヘルメットを外した
henshin,変身
hetero,異性愛
heterochromia,虹彩異色症
hexagon,六角形
hexagram,六芒星
hibari_(senran_kagura),雲雀（閃乱カグラ）
hibiki_(kancolle),響（艦隊これくしょん）
hibiscus,ハイビスカス
hickey,キスマーク
hidden_eyes,隠れた目
hiding,隠れている
hieda_no_akyuu,稗田阿求（東方Project）
hiei_(kancolle),比叡（艦隊これくしょん）
higashikata_josuke_(jojolion),東方定助（ジョジョの奇妙な冒険）
high-waist_skirt,ハイウエストスカート
high_heel_boots,ハイヒールブーツ
high_heels,ハイヒール
high_kick,ハイキック
high_ponytail,ハイポニーテール
high_priest_(ragnarok_online),ハイプリ（ラグナロクオンライン）
highleg,ハイレグ
highleg_bikini,ハイレグビキニ
highleg_leotard,ハイレグレオタード
highleg_panties,ハイレグパンティー
highleg_swimsuit,ハイレグ水着
higuchi_kaede,樋口楓（にじさんじ）
higuchi_madoka,樋口円香（アイドルマスター シャイニーカラーズ）
hiiragi_kagami,柊かがみ（らき☆すた）
hiiragi_tsukasa,柊つかさ（らき☆すた）
hijiri_byakuren,聖白蓮（東方Project）
hikarizaka_private_high_school_uniform,光坂高校制服（CLANNAD）
hikawa_hina,氷川日菜（バンドリ！）
hikawa_sayo,氷川紗夜（バンドリ！）
hilda_(pokemon),ホミカ（ポケモン）
hill,丘
hime_cut,姫カット
himekaidou_hatate,姫海棠はたて（東方Project）
himekawa_yuki,姫川ゆき（咲-Saki-）
himemori_luna,姫森ルーナ（ホロライブ）
hinanawi_tenshi,比那名居天子（東方Project）
hino_akane_(idolmaster),日野茜（アイドルマスター）
hino_akane_(smile_precure!),陽野あかね（スマイルプリキュア！）
hip_bones,腰骨
hip_vent,ヒップベント（服の開口部）
hiradaira_chisaki,平良ちさき（凪のあすから）
hirasawa_yui,平沢唯（けいおん！）
hirschgeweih_antennas,鹿角アンテナ
hisakawa_hayate,久川颯（D4DJ）
hishikawa_rikka,菱川六花（ドキドキ！プリキュア）
hisui_(tsukihime),翡翠（月姫）
hitachi_magic_wand,ヒタチマジックワンド
hitodama,人魂
hitting,叩いている
holding,持っている
holding_animal,動物を持っている
holding_another's_arm,他人の腕を持っている
holding_another's_wrist,他人の手首を持っている
holding_arrow,矢を持っている
holding_axe,斧を持っている
holding_bag,バッグを持っている
holding_ball,ボールを持っている
holding_balloon,風船を持っている
holding_baseball_bat,バットを持っている
holding_basket,カゴを持っている
holding_book,本を持っている
holding_bottle,ボトルを持っている
holding_bouquet,花束を持っている
holding_bow_(weapon),弓を持っている
holding_bowl,ボウルを持っている
holding_box,箱を持っている
holding_breath,息を止めている
holding_broom,ほうきを持っている
holding_brush,ブラシを持っている
holding_camera,カメラを持っている
holding_can,缶を持っている
holding_candy,キャンディーを持っている
holding_card,カードを持っている
holding_cat,猫を持っている
holding_chopsticks,箸を持っている
holding_cigarette,タバコを持っている
holding_clipboard,クリップボードを持っている
holding_clothes,服を持っている
holding_condom,コンドームを持っている
holding_controller,コントローラーを持っている
holding_cup,カップを持っている
holding_dagger,ダガーを持っている
holding_doll,人形を持っている
holding_drink,飲み物を持っている
holding_eyewear,眼鏡を持っている
holding_fan,扇子を持っている
holding_fishing_rod,釣り竿を持っている
holding_flag,旗を持っている
holding_flower,花を持っている
holding_food,食べ物を持っている
holding_fork,フォークを持っている
holding_fruit,果物を持っている
holding_game_controller,ゲームコントローラーを持っている
holding_gift,贈り物を持っている
holding_gun,銃を持っている
holding_hair,髪を持っている
holding_handheld_game_console,携帯ゲーム機を持っている
holding_hands,手をつないでいる
holding_hat,帽子を持っている
holding_head,頭を持っている
holding_innertube,浮き輪を持っている
holding_instrument,楽器を持っている
holding_knife,ナイフを持っている
holding_leaf,葉っぱを持っている
holding_leash,リードを持っている
holding_legs,脚を持っている
holding_letter,手紙を持っている
holding_lollipop,ロリポップを持っている
holding_mask,マスクを持っている
holding_microphone,マイクを持っている
holding_own_arm,自分の腕を持っている
holding_paintbrush,絵筆を持っている
holding_panties,パンティーを持っている
holding_paper,紙を持っている
holding_pen,ペンを持っている
holding_pencil,鉛筆を持っている
holding_phone,電話を持っている
holding_pillow,枕を持っている
holding_plate,お皿を持っている
holding_pokemon,ポケモンを持っている
holding_polearm,長柄武器を持っている
holding_pom_poms,ポンポンを持っている
holding_sack,袋を持っている
holding_saucer,受け皿を持っている
holding_scissors,ハサミを持っている
holding_sheath,鞘を持っている
holding_shoes,靴を持っている
holding_sign,看板を持っている
holding_spoon,スプーンを持っている
holding_staff,杖を持っている
holding_strap,ストラップを持っている
holding_stuffed_toy,ぬいぐるみを持っている
holding_stylus,スタイラスを持っている
holding_sword,剣を持っている
holding_towel,タオルを持っている
holding_tray,トレイを持っている
holding_umbrella,傘を持っている
holding_underwear,下着を持っている
holding_vegetable,野菜を持っている
holding_wand,杖（魔法）を持っている
holding_water_gun,水鉄砲を持っている
holding_weapon,武器を持っている
holly,ヒイラギ
holo,ホロ（狼と香辛料）
hologram,ホログラム
holographic_interface,ホログラフィックインターフェース
hololive_idol_uniform,ホロライブアイドル衣装
holster,ホルスター
homurahara_academy_uniform,穗群原学園制服（Fate/stay night）
honda_mio,本田未央（アイドルマスター シンデレラガールズ）
honebami_toushirou,骨喰藤四郎（刀剣乱舞）
honey,蜂蜜
honeycomb_(pattern),ハニカム模様
honeycomb_background,ハニカム背景
hong_meiling,紅美鈴（東方Project）
hood,フード
hood_down,フードダウン
hood_up,フードアップ
hooded_cape,フード付きケープ
hooded_capelet,フード付きショートケープ
hooded_cloak,フード付きクローク
hooded_coat,フード付きコート
hooded_jacket,フード付きジャケット
hooded_robe,フード付きローブ
hooded_sweater,フード付きセーター
hoodie,フーディー
hook,フック
hoop,フープ
hoop_earrings,フープイヤリング
hori_yuko,堀裕子（ラブライブ！サンシャイン!!）
horikawa_kunihiro,堀川国広（刀剣乱舞）
horizon,地平線
horizontal_stripes,横縞
horn_bow,角弓
horn_ornament,角飾り
horns,角
horror_(theme),ホラー（テーマ）
horse,馬
horse_ears,馬耳
horse_girl,馬娘
horseback_riding,乗馬
hose,ホース
hoshi_syoko,星井美希（アイドルマスター）
hoshiguma_(arknights),星熊（アークナイツ）
hoshiguma_yuugi,星熊勇儀（東方Project）
hoshii_miki,星井美希（アイドルマスター）
hoshimachi_suisei,星街すいせい（ホロライブ）
hoshino_ruri,ほしのりり（東方Project）
hoshizora_miyuki,星空みゆき（D.C.）
hoshizora_rin,星空凛（ラブライブ！）
hospital,病院
hospital_bed,病院のベッド
hospital_gown,患者衣
hot,暑い・熱い
hot_dog,ホットドッグ
hoto_cocoa,鳳蝶ココア（ご注文はうさぎですか？）
houjuu_nue,封獣ぬえ（東方Project）
houndstooth,ハウンドストゥース（千鳥格子）
houraisan_kaguya,蓬莱山輝夜（東方Project）
hourglass,砂時計
house,家
houshou_(kancolle),鳳翔（艦隊これくしょん）
houshou_marine,宝鐘マリン（ホロライブ）
how_to,ハウツー
hug,ハグ
hug_from_behind,後ろからのハグ
huge_ahoge,巨大アホ毛
huge_ass,巨大なお尻
huge_breasts,巨大な乳房
huge_penis,巨大な陰茎
huge_weapon,巨大な武器
hugging_own_legs,自分の脚を抱きしめている
humanoid_robot,人型ロボット
humboldt_penguin_(kemono_friends),フンボルトペンギン（けものフレンズ）
humiliation,屈辱
hummy_(suite_precure),ハミィ（スイートプリキュア♪）
hungry,お腹が空いた
hunter_(bloodborne),狩人（Bloodborne）
husband_and_wife,夫婦
hydrangea,紫陽花
hypnosis,催眠
i-13_(kancolle),伊13（艦隊これくしょん）
i-168_(kancolle),伊168（艦隊これくしょん）
i-19_(kancolle),伊19（艦隊これくしょん）
i-58_(kancolle),伊58（艦隊これくしょん）
i-8_(kancolle),伊8（艦隊これくしょん）
i-class_destroyer,伊号駆逐艦
ia_(vocaloid),IA（VOCALOID）
ib_(ib),イヴ（ib）
ibaraki_kasen,伊吹萃香（東方Project）
ibuki_fuuko,伊吹風子（CLANNAD）
ibuki_suika,伊吹萃香（東方Project）
ice,氷
ice_cream,アイスクリーム
ice_cream_cone,アイスクリームコーン
ice_cube,角氷
ice_skates,アイススケート靴
ice_wings,氷の翼
ichigaya_arisa,市ヶ谷あいり（ガールフレンド（仮））
ichigo_(darling_in_the_franxx),イチゴ（ダーリン・イン・ザ・フランキス）
ichinose_kotomi,一ノ瀬ことみ（CLANNAD）
ichinose_shiki,一ノ瀬志希（アイドルマスター シャイニーカラーズ）
icho_private_high_school_uniform,銀杏学園制服（咲-Saki-）
icing,アイシング
id_card,IDカード
identity_censor,身元隠蔽
idol,アイドル
idol_clothes,アイドル衣装
if_they_mated,もし彼らが交配したら
ikamusume,侵略!イカ娘
ikari_shinji,碇シンジ（新世紀エヴァンゲリオン）
ikazuchi_(kancolle),雷（艦隊これくしょん）
illustrious_(azur_lane),イラストリアス（アズールレーン）
illyasviel_von_einzbern,イリヤスフィール・フォン・アインツベルン（Fate）
imagining,想像している
imaizumi_kagerou,今泉影狼（東方Project）
imminent_anal,寸前のアナル
imminent_fellatio,寸前のフェラチオ
imminent_kiss,寸前のキス
imminent_penetration,寸前の挿入
imminent_rape,寸前のレイプ
imminent_vaginal,寸前の膣挿入
impaled,串刺し
imperial_japanese_army,大日本帝国陸軍
implied_sex,暗示されるセックス
impossible_clothes,不可能な服
impossible_shirt,不可能なシャツ
